,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,prefix,http,inter,iot,eu,goiotp,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,prefix,dc,http,purl,org,dc,elements,,,,,,,,,,,,,,,,,,,,,,,,,,
2,prefix,sf,http,www,opengis,net,ont,sf,,,,,,,,,,,,,,,,,,,,,,,,,
3,prefix,vs,http,www,org,sw,vocab,status,ns,,,,,,,,,,,,,,,,,,,,,,,,
4,prefix,gml,http,www,opengis,net,ont,gml,,,,,,,,,,,,,,,,,,,,,,,,,
5,prefix,ogc,http,www,opengis,net,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,prefix,owl,http,www,org,owl,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,prefix,rdf,http,www,org,rdf,syntax,ns,,,,,,,,,,,,,,,,,,,,,,,,,
8,prefix,ssn,http,www,org,ns,ssn,,,,,,,,,,,,,,,,,,,,,,,,,,
9,prefix,xml,http,www,org,xml,namespace,,,,,,,,,,,,,,,,,,,,,,,,,,
10,prefix,xsd,http,www,org,xmlschema,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,prefix,foaf,http,xmlns,com,foaf,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,prefix,iiot,http,inter,iot,eu,goiotp,,,,,,,,,,,,,,,,,,,,,,,,,,
13,prefix,rdfs,http,www,org,rdf,schema,,,,,,,,,,,,,,,,,,,,,,,,,,
14,prefix,sosa,http,www,org,ns,sosa,,,,,,,,,,,,,,,,,,,,,,,,,,
15,prefix,time,http,www,org,time,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,prefix,vann,http,purl,org,vocab,vann,,,,,,,,,,,,,,,,,,,,,,,,,,
17,prefix,voaf,http,purl,org,vocommons,voaf,,,,,,,,,,,,,,,,,,,,,,,,,,
18,prefix,oldssn,http,purl,oclc,org,net,ssnx,ssn,,,,,,,,,,,,,,,,,,,,,,,,
19,prefix,dcterms,http,purl,org,dc,terms,,,,,,,,,,,,,,,,,,,,,,,,,,
20,prefix,geosparql,http,www,opengis,net,ont,geosparql,,,,,,,,,,,,,,,,,,,,,,,,,
21,prefix,geosparqlf,http,www,opengis,net,def,function,geosparql,,,,,,,,,,,,,,,,,,,,,,,,
22,prefix,geosparqlr,http,www,opengis,net,def,rule,geosparql,,,,,,,,,,,,,,,,,,,,,,,,
23,prefix,sweet,units,http,sweet,jpl,nasa,gov,reprsciunits,owl,,,,,,,,,,,,,,,,,,,,,,,
24,base,http,inter,iot,eu,goiotp,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,http,inter,iot,eu,goiotp,rdf,type,owl,ontology,,,,,,,,,,,,,,,,,,,,,,,,
27,owl,imports,ssn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,dcterms,modified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,vann,preferrednamespaceprefix,iiot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,rdfs,comment,inter,iot,interoperability,iot,platforms,,,,,,,,,,,,,,,,,,,,,,,,,,
32,inter,iot,project,received,funding,european,union,horizon,research,innovation,programme,grant,agreement,,,,,,,,,,,,,,,,,,,,
34,copyright,author,company,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,systems,research,institute,polish,academy,sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,information,contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,author,pawel,szmeja,ibspan,waw,pl,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,project,coordinator,coordinator,inter,iot,eu,en,,,,,,,,,,,,,,,,,,,,,,,,,,
40,vann,preferrednamespaceuri,http,inter,iot,eu,goiotp,,,,,,,,,,,,,,,,,,,,,,,,,,
41,dcterms,issued,xsd,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,dc,creator,rdf,type,foaf,person,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,foaf,name,paweł,szmeja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,dc,description,generic,ontology,iot,platforms,goiotp,core,ontology,iot,developed,part,inter,iot,project,offers,modular,data,structures,description,entities,commonly,appearing,iot,context,interoperating,various,different,iot,artifacts,,,
47,ontology,following,horizontal,modules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,device,optionally,virtualized,hardware,connected,iot,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,platform,software,platforms,host,iot,devices,,,,,,,,,,,,,,,,,,,,,,,,,,,
